statement,original_label,binary_label,true_id,predicted_id,predicted_label,prob_fake,prob_real,confidence,correct,error_type,token_length
Building a wall on the U.S.-Mexico border will take literally years.,true,REAL,1,0,FAKE,0.9499502778053284,0.050049789249897,0.9499502778053284,False,REAL_TO_FAKE,19
Wisconsin is on pace to double the number of layoffs this year.,false,FAKE,0,1,REAL,0.19807569682598114,0.8019243478775024,0.8019243478775024,False,FAKE_TO_REAL,16
We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,barely-true,FAKE,0,1,REAL,0.4745214581489563,0.5254785418510437,0.5254785418510437,False,FAKE_TO_REAL,29
We know there are more Democrats in Georgia than Republicans. We know that for a fact.,barely-true,FAKE,0,1,REAL,0.3602047860622406,0.6397952437400818,0.6397952437400818,False,FAKE_TO_REAL,20
"Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.",false,FAKE,0,1,REAL,0.14048334956169128,0.8595166206359863,0.8595166206359863,False,FAKE_TO_REAL,26
Says the unemployment rate for college graduates is 4.4 percent and over 10 percent for noncollege-educated.,true,REAL,1,0,FAKE,0.97562575340271,0.024374261498451233,0.97562575340271,False,REAL_TO_FAKE,25
Unfortunately we have documented instances where people defecated in the (Statehouse) building.,pants-fire,FAKE,0,1,REAL,0.2480124533176422,0.7519875168800354,0.7519875168800354,False,FAKE_TO_REAL,20
"Each year, 18,000 people die in America because they don't have health care.",true,REAL,1,0,FAKE,0.9246439933776855,0.07535602152347565,0.9246439933776855,False,REAL_TO_FAKE,21
There have not been any public safety issues in cities that allow transgender people to use the bathroom of the gender they identify as.,mostly-true,REAL,1,0,FAKE,0.9679585099220276,0.03204149752855301,0.9679585099220276,False,REAL_TO_FAKE,27
Says Mitt Romney was one of the first national Republican leaders to endorse Marco Rubio.,half-true,FAKE,0,1,REAL,0.21109949052333832,0.7889004945755005,0.7889004945755005,False,FAKE_TO_REAL,22
"Contends that President Obama literally said (if) his cap-and-trade proposals were to pass, that utility rates, his words now, would, necessarily skyrocket.",true,REAL,1,0,FAKE,0.9556803107261658,0.044319670647382736,0.9556803107261658,False,REAL_TO_FAKE,38
