statement,true_label_id,true_label,predicted_label_id,predicted_label,prob_fake,prob_real,confidence,correct,token_length,error_type,length_group
says president john f. kennedy released a star green bay packer from military reserve duty so that he could play in the 1961 nfl championship game.,1,REAL,0,FAKE,0.5008575,0.4991426,0.5008575,False,31,REAL_TO_FAKE,17-32
florida led the nation in job creation while bush was governor.,0,FAKE,1,REAL,0.49632165,0.5036783,0.5036783,False,14,FAKE_TO_REAL,1-16
i never favored cap and trade.,0,FAKE,1,REAL,0.49599892,0.5040011,0.5040011,False,9,FAKE_TO_REAL,1-16
about 1 percent of all the gun sellers are responsible for more than half of the guns that are used in crimes.,0,FAKE,1,REAL,0.4953066,0.5046934,0.5046934,False,25,FAKE_TO_REAL,17-32
"it costs $ 10, 000 a year to keep a child in school ; it costs $ 30, 000 a year to keep someone in prison.",1,REAL,0,FAKE,0.5061678,0.4938322,0.5061678,False,31,REAL_TO_FAKE,17-32
"john kasich says he won, despite 12 visits by a president, somewhere between $ 45 ( million ) and $ 50 million ( spent against him, ) 500 paid volunteers in here calling me every name in the book, former presidents, first ladies and god - knows - who - else.",0,FAKE,1,REAL,0.48866183,0.5113382,0.5113382,False,61,FAKE_TO_REAL,33-64
"a telephone company will no longer have to provide landline service to customers if there is an alternative provider, including wireless.",1,REAL,0,FAKE,0.5118883,0.4881117,0.5118883,False,26,REAL_TO_FAKE,17-32
theres a loophole where you can sell guns without a background check 40 percent of guns are sold that way at gun shows and over the internet.,0,FAKE,1,REAL,0.48794326,0.5120567,0.5120567,False,32,FAKE_TO_REAL,17-32
"says by rejecting an expansion of medicaid under the new law, georgia was depriving 25, 000 veterans of health care coverage.",1,REAL,0,FAKE,0.5123736,0.48762637,0.5123736,False,30,REAL_TO_FAKE,17-32
"says in 2003 texas cut $ 10 billion out of the entire budget, yet we put $ 1. 8 billion more into public education. we put $ 800 million more into health and human services.",0,FAKE,1,REAL,0.48595384,0.5140462,0.5140462,False,41,FAKE_TO_REAL,33-64
"the state election board has issued nearly $ 275, 000 in fines to violators of absentee ballot laws.",1,REAL,0,FAKE,0.51629835,0.48370168,0.51629835,False,24,REAL_TO_FAKE,17-32
says donald trump wants to replace obamacare with a single - payer system.,0,FAKE,1,REAL,0.48302937,0.5169706,0.5169706,False,18,FAKE_TO_REAL,17-32
"the united states spends $ 2. 2 billion on free cell phones, $ 27 million on moroccan pottery classes and pays for the travel expenses for the watermelon queen in alabama.",0,FAKE,1,REAL,0.48184383,0.5181561,0.5181561,False,38,FAKE_TO_REAL,33-64
"if you look at the number of illegal immigrants coming into the country, it is net zero. its been that way now for almost two years.",1,REAL,0,FAKE,0.51987404,0.48012596,0.51987404,False,31,REAL_TO_FAKE,17-32
says bruce starr broke the law by letting lobbyists wine and dine him in maui.,0,FAKE,1,REAL,0.47971296,0.52028704,0.52028704,False,20,FAKE_TO_REAL,17-32
we know that more than half of hillary clintons meetings while she was secretary of state were given to major contributors to the clinton foundation.,0,FAKE,1,REAL,0.47452146,0.52547854,0.52547854,False,29,FAKE_TO_REAL,17-32
the u. s. has now spent more on reconstructing afghanistan than was spent on the marshall plan and the reconstruction of europe.,1,REAL,0,FAKE,0.52876645,0.47123355,0.52876645,False,29,REAL_TO_FAKE,17-32
one in every three women has an abortion during her lifetime.,0,FAKE,1,REAL,0.4707074,0.52929264,0.52929264,False,14,FAKE_TO_REAL,1-16
"in the 2014 election, 80 percentofpoor people did not vote.",1,REAL,0,FAKE,0.52940595,0.47059408,0.52940595,False,17,REAL_TO_FAKE,17-32
this is the first time in the history that weve had the raising of a debt limit also with spending cuts.,0,FAKE,1,REAL,0.46914124,0.53085876,0.53085876,False,25,FAKE_TO_REAL,17-32
the united states has the longest surviving constitution.,1,REAL,0,FAKE,0.53246,0.46754006,0.53246,False,11,REAL_TO_FAKE,1-16
says gov. chris christie cut spending ( by ) $ 1 billion and provided $ 850 million in new education funding.,0,FAKE,1,REAL,0.46607247,0.5339276,0.5339276,False,25,FAKE_TO_REAL,17-32
says an epa permit languished under strickland but his new epa director got it done in two days.,0,FAKE,1,REAL,0.46233925,0.5376607,0.5376607,False,25,FAKE_TO_REAL,17-32
"chile ranks third internationally in economic freedom, while the u. s. ranks 17th.",0,FAKE,1,REAL,0.45771715,0.5422828,0.5422828,False,19,FAKE_TO_REAL,17-32
"says daniel webster wants to make divorce illegal, even for abused wives.",0,FAKE,1,REAL,0.45609367,0.5439064,0.5439064,False,16,FAKE_TO_REAL,1-16
says u. s. senate opponent tommy thompson favors raising taxes on small businesses.,0,FAKE,1,REAL,0.4538145,0.54618543,0.54618543,False,18,FAKE_TO_REAL,17-32
"right now, an employer has more of a chance of getting hit by lightning than be prosecuted for hiring an undocumented worker. that has to change.",0,FAKE,1,REAL,0.4520825,0.5479174,0.5479174,False,33,FAKE_TO_REAL,33-64
this would be the largest casino in the united states.,0,FAKE,1,REAL,0.44892782,0.55107224,0.55107224,False,13,FAKE_TO_REAL,1-16
eighty - five percent of the states in the united states that had electrocution have now abolished it.,1,REAL,0,FAKE,0.5523795,0.4476205,0.5523795,False,23,REAL_TO_FAKE,17-32
"says donald trump said of women, and you can tell them to go f - - - themselves.",0,FAKE,1,REAL,0.44565877,0.5543412,0.5543412,False,22,FAKE_TO_REAL,17-32
