true_label_id,true_label,predicted_label_id,predicted_label,probability_fake,probability_real,confidence,correct,token_length,error_type
1,REAL,0,FAKE,0.6138043,0.38619575,0.6138043,False,19,REAL_TO_FAKE
0,FAKE,1,REAL,0.24596646,0.7540335,0.7540335,False,16,FAKE_TO_REAL
0,FAKE,1,REAL,0.47616673,0.5238333,0.5238333,False,29,FAKE_TO_REAL
0,FAKE,1,REAL,0.48229492,0.5177051,0.5177051,False,20,FAKE_TO_REAL
0,FAKE,1,REAL,0.26373515,0.7362649,0.7362649,False,26,FAKE_TO_REAL
0,FAKE,1,REAL,0.46434212,0.5356579,0.5356579,False,20,FAKE_TO_REAL
0,FAKE,1,REAL,0.44581455,0.55418545,0.55418545,False,30,FAKE_TO_REAL
0,FAKE,1,REAL,0.41798478,0.5820152,0.5820152,False,14,FAKE_TO_REAL
0,FAKE,1,REAL,0.31348422,0.6865158,0.6865158,False,22,FAKE_TO_REAL
0,FAKE,1,REAL,0.29511788,0.7048821,0.7048821,False,18,FAKE_TO_REAL
1,REAL,0,FAKE,0.71049917,0.28950086,0.71049917,False,38,REAL_TO_FAKE
0,FAKE,1,REAL,0.25941688,0.7405831,0.7405831,False,26,FAKE_TO_REAL
0,FAKE,1,REAL,0.46725544,0.5327446,0.5327446,False,23,FAKE_TO_REAL
1,REAL,0,FAKE,0.55902356,0.4409764,0.55902356,False,33,REAL_TO_FAKE
1,REAL,0,FAKE,0.630389,0.36961102,0.630389,False,34,REAL_TO_FAKE
0,FAKE,1,REAL,0.33001974,0.6699802,0.6699802,False,18,FAKE_TO_REAL
0,FAKE,1,REAL,0.18356816,0.8164319,0.8164319,False,45,FAKE_TO_REAL
0,FAKE,1,REAL,0.49000937,0.5099907,0.5099907,False,31,FAKE_TO_REAL
1,REAL,0,FAKE,0.5607044,0.43929556,0.5607044,False,17,REAL_TO_FAKE
0,FAKE,1,REAL,0.23702528,0.76297474,0.76297474,False,13,FAKE_TO_REAL
1,REAL,0,FAKE,0.54077893,0.45922112,0.54077893,False,14,REAL_TO_FAKE
1,REAL,0,FAKE,0.7281348,0.2718652,0.7281348,False,20,REAL_TO_FAKE
0,FAKE,1,REAL,0.30018055,0.6998195,0.6998195,False,37,FAKE_TO_REAL
0,FAKE,1,REAL,0.45442066,0.5455793,0.5455793,False,16,FAKE_TO_REAL
0,FAKE,1,REAL,0.3311027,0.66889733,0.66889733,False,32,FAKE_TO_REAL
0,FAKE,1,REAL,0.28799748,0.71200246,0.71200246,False,19,FAKE_TO_REAL
0,FAKE,1,REAL,0.40658396,0.5934161,0.5934161,False,23,FAKE_TO_REAL
0,FAKE,1,REAL,0.17811069,0.8218893,0.8218893,False,29,FAKE_TO_REAL
1,REAL,0,FAKE,0.5862294,0.41377068,0.5862294,False,16,REAL_TO_FAKE
0,FAKE,1,REAL,0.39158392,0.608416,0.608416,False,24,FAKE_TO_REAL
1,REAL,0,FAKE,0.6106516,0.38934842,0.6106516,False,22,REAL_TO_FAKE
0,FAKE,1,REAL,0.4646387,0.5353613,0.5353613,False,40,FAKE_TO_REAL
1,REAL,0,FAKE,0.77413857,0.22586145,0.77413857,False,17,REAL_TO_FAKE
0,FAKE,1,REAL,0.24025904,0.75974095,0.75974095,False,13,FAKE_TO_REAL
0,FAKE,1,REAL,0.28123808,0.7187619,0.7187619,False,18,FAKE_TO_REAL
0,FAKE,1,REAL,0.45532918,0.5446708,0.5446708,False,19,FAKE_TO_REAL
0,FAKE,1,REAL,0.297962,0.702038,0.702038,False,24,FAKE_TO_REAL
1,REAL,0,FAKE,0.5000537,0.4999463,0.5000537,False,14,REAL_TO_FAKE
1,REAL,0,FAKE,0.691152,0.308848,0.691152,False,28,REAL_TO_FAKE
1,REAL,0,FAKE,0.5321074,0.4678926,0.5321074,False,29,REAL_TO_FAKE
1,REAL,0,FAKE,0.825725,0.17427495,0.825725,False,34,REAL_TO_FAKE
1,REAL,0,FAKE,0.727801,0.27219895,0.727801,False,37,REAL_TO_FAKE
0,FAKE,1,REAL,0.2502853,0.7497147,0.7497147,False,19,FAKE_TO_REAL
0,FAKE,1,REAL,0.36587998,0.63412005,0.63412005,False,46,FAKE_TO_REAL
0,FAKE,1,REAL,0.30111656,0.6988835,0.6988835,False,15,FAKE_TO_REAL
0,FAKE,1,REAL,0.4872785,0.51272154,0.51272154,False,20,FAKE_TO_REAL
0,FAKE,1,REAL,0.40861243,0.59138757,0.59138757,False,17,FAKE_TO_REAL
1,REAL,0,FAKE,0.5615345,0.4384655,0.5615345,False,19,REAL_TO_FAKE
0,FAKE,1,REAL,0.39374334,0.6062567,0.6062567,False,15,FAKE_TO_REAL
0,FAKE,1,REAL,0.3527348,0.6472652,0.6472652,False,21,FAKE_TO_REAL
1,REAL,0,FAKE,0.5175153,0.4824847,0.5175153,False,15,REAL_TO_FAKE
1,REAL,0,FAKE,0.66608775,0.33391225,0.66608775,False,38,REAL_TO_FAKE
0,FAKE,1,REAL,0.43907857,0.56092143,0.56092143,False,15,FAKE_TO_REAL
1,REAL,0,FAKE,0.5544721,0.44552788,0.5544721,False,34,REAL_TO_FAKE
1,REAL,0,FAKE,0.5659632,0.43403685,0.5659632,False,26,REAL_TO_FAKE
0,FAKE,1,REAL,0.43445015,0.5655499,0.5655499,False,21,FAKE_TO_REAL
0,FAKE,1,REAL,0.21130548,0.78869456,0.78869456,False,25,FAKE_TO_REAL
0,FAKE,1,REAL,0.22536935,0.7746306,0.7746306,False,25,FAKE_TO_REAL
0,FAKE,1,REAL,0.17758837,0.82241166,0.82241166,False,21,FAKE_TO_REAL
0,FAKE,1,REAL,0.34988445,0.6501156,0.6501156,False,30,FAKE_TO_REAL
1,REAL,0,FAKE,0.70957696,0.29042307,0.70957696,False,12,REAL_TO_FAKE
0,FAKE,1,REAL,0.47086042,0.5291395,0.5291395,False,27,FAKE_TO_REAL
0,FAKE,1,REAL,0.17095105,0.82904893,0.82904893,False,39,FAKE_TO_REAL
0,FAKE,1,REAL,0.24798113,0.75201887,0.75201887,False,28,FAKE_TO_REAL
1,REAL,0,FAKE,0.68805164,0.31194833,0.68805164,False,13,REAL_TO_FAKE
0,FAKE,1,REAL,0.3998508,0.60014915,0.60014915,False,13,FAKE_TO_REAL
1,REAL,0,FAKE,0.6484716,0.35152835,0.6484716,False,19,REAL_TO_FAKE
0,FAKE,1,REAL,0.3540456,0.6459544,0.6459544,False,21,FAKE_TO_REAL
0,FAKE,1,REAL,0.37459752,0.62540245,0.62540245,False,33,FAKE_TO_REAL
0,FAKE,1,REAL,0.37646943,0.6235305,0.6235305,False,34,FAKE_TO_REAL
1,REAL,0,FAKE,0.512701,0.48729903,0.512701,False,30,REAL_TO_FAKE
1,REAL,0,FAKE,0.7559813,0.24401867,0.7559813,False,17,REAL_TO_FAKE
0,FAKE,1,REAL,0.3158556,0.68414444,0.68414444,False,23,FAKE_TO_REAL
0,FAKE,1,REAL,0.30390134,0.6960986,0.6960986,False,14,FAKE_TO_REAL
0,FAKE,1,REAL,0.46706793,0.5329321,0.5329321,False,18,FAKE_TO_REAL
0,FAKE,1,REAL,0.25971466,0.74028534,0.74028534,False,22,FAKE_TO_REAL
0,FAKE,1,REAL,0.31331334,0.68668664,0.68668664,False,36,FAKE_TO_REAL
0,FAKE,1,REAL,0.4632183,0.53678167,0.53678167,False,28,FAKE_TO_REAL
0,FAKE,1,REAL,0.20924772,0.79075223,0.79075223,False,24,FAKE_TO_REAL
1,REAL,0,FAKE,0.52928805,0.47071192,0.52928805,False,16,REAL_TO_FAKE
0,FAKE,1,REAL,0.4837212,0.5162788,0.5162788,False,24,FAKE_TO_REAL
1,REAL,0,FAKE,0.523574,0.476426,0.523574,False,11,REAL_TO_FAKE
0,FAKE,1,REAL,0.36589321,0.63410676,0.63410676,False,14,FAKE_TO_REAL
0,FAKE,1,REAL,0.47371206,0.526288,0.526288,False,27,FAKE_TO_REAL
1,REAL,0,FAKE,0.6525924,0.3474076,0.6525924,False,12,REAL_TO_FAKE
0,FAKE,1,REAL,0.31086013,0.6891399,0.6891399,False,29,FAKE_TO_REAL
1,REAL,0,FAKE,0.5250578,0.47494218,0.5250578,False,29,REAL_TO_FAKE
0,FAKE,1,REAL,0.4505237,0.5494763,0.5494763,False,35,FAKE_TO_REAL
0,FAKE,1,REAL,0.40418395,0.5958161,0.5958161,False,41,FAKE_TO_REAL
0,FAKE,1,REAL,0.23209623,0.76790375,0.76790375,False,17,FAKE_TO_REAL
0,FAKE,1,REAL,0.48761284,0.51238716,0.51238716,False,19,FAKE_TO_REAL
1,REAL,0,FAKE,0.7515601,0.24843988,0.7515601,False,21,REAL_TO_FAKE
0,FAKE,1,REAL,0.2670679,0.7329321,0.7329321,False,40,FAKE_TO_REAL
0,FAKE,1,REAL,0.4667999,0.5332001,0.5332001,False,28,FAKE_TO_REAL
1,REAL,0,FAKE,0.89227116,0.107728794,0.89227116,False,11,REAL_TO_FAKE
1,REAL,0,FAKE,0.5535737,0.44642624,0.5535737,False,19,REAL_TO_FAKE
1,REAL,0,FAKE,0.50043416,0.49956578,0.50043416,False,25,REAL_TO_FAKE
1,REAL,0,FAKE,0.7389411,0.261059,0.7389411,False,37,REAL_TO_FAKE
0,FAKE,1,REAL,0.1839519,0.8160481,0.8160481,False,29,FAKE_TO_REAL
0,FAKE,1,REAL,0.19239382,0.8076062,0.8076062,False,30,FAKE_TO_REAL
0,FAKE,1,REAL,0.48447412,0.5155259,0.5155259,False,22,FAKE_TO_REAL
0,FAKE,1,REAL,0.34977448,0.6502256,0.6502256,False,16,FAKE_TO_REAL
0,FAKE,1,REAL,0.3169642,0.6830358,0.6830358,False,11,FAKE_TO_REAL
1,REAL,0,FAKE,0.71870327,0.2812967,0.71870327,False,18,REAL_TO_FAKE
0,FAKE,1,REAL,0.1577845,0.84221554,0.84221554,False,17,FAKE_TO_REAL
0,FAKE,1,REAL,0.38857794,0.61142206,0.61142206,False,22,FAKE_TO_REAL
0,FAKE,1,REAL,0.46083403,0.539166,0.539166,False,15,FAKE_TO_REAL
0,FAKE,1,REAL,0.3407125,0.6592875,0.6592875,False,21,FAKE_TO_REAL
0,FAKE,1,REAL,0.23428641,0.7657136,0.7657136,False,30,FAKE_TO_REAL
0,FAKE,1,REAL,0.36120886,0.63879114,0.63879114,False,33,FAKE_TO_REAL
0,FAKE,1,REAL,0.24283628,0.75716376,0.75716376,False,17,FAKE_TO_REAL
1,REAL,0,FAKE,0.7376507,0.26234934,0.7376507,False,37,REAL_TO_FAKE
1,REAL,0,FAKE,0.7347669,0.2652331,0.7347669,False,24,REAL_TO_FAKE
0,FAKE,1,REAL,0.27150178,0.7284982,0.7284982,False,38,FAKE_TO_REAL
0,FAKE,1,REAL,0.22692944,0.7730706,0.7730706,False,33,FAKE_TO_REAL
0,FAKE,1,REAL,0.2894401,0.7105599,0.7105599,False,34,FAKE_TO_REAL
0,FAKE,1,REAL,0.385677,0.61432296,0.61432296,False,27,FAKE_TO_REAL
0,FAKE,1,REAL,0.2200884,0.7799116,0.7799116,False,45,FAKE_TO_REAL
1,REAL,0,FAKE,0.69028056,0.3097194,0.69028056,False,21,REAL_TO_FAKE
1,REAL,0,FAKE,0.80688995,0.19311006,0.80688995,False,15,REAL_TO_FAKE
0,FAKE,1,REAL,0.47655967,0.5234403,0.5234403,False,27,FAKE_TO_REAL
