statement,original_label,binary_label,true_id,predicted_id,predicted_label,prob_fake,prob_real,confidence,correct,error_type,token_length
Building a wall on the U.S.-Mexico border will take literally years.,true,REAL,1,0,FAKE,0.9499502778053284,0.050049789249897,0.9499502778053284,False,REAL_TO_FAKE,19
Says the unemployment rate for college graduates is 4.4 percent and over 10 percent for noncollege-educated.,true,REAL,1,0,FAKE,0.97562575340271,0.024374261498451233,0.97562575340271,False,REAL_TO_FAKE,25
"Each year, 18,000 people die in America because they don't have health care.",true,REAL,1,0,FAKE,0.9246439933776855,0.07535602152347565,0.9246439933776855,False,REAL_TO_FAKE,21
There have not been any public safety issues in cities that allow transgender people to use the bathroom of the gender they identify as.,mostly-true,REAL,1,0,FAKE,0.9679585099220276,0.03204149752855301,0.9679585099220276,False,REAL_TO_FAKE,27
"Contends that President Obama literally said (if) his cap-and-trade proposals were to pass, that utility rates, his words now, would, necessarily skyrocket.",true,REAL,1,0,FAKE,0.9556803107261658,0.044319670647382736,0.9556803107261658,False,REAL_TO_FAKE,38
"The Fed created $1.2 trillion out of nothing, gave it to banks, and some of them foreign banks, so that they could stabilize their operations.",true,REAL,1,0,FAKE,0.9158715009689331,0.08412856608629227,0.9158715009689331,False,REAL_TO_FAKE,34
"Last year, out of the 500,000 (in) population growth we had in the state of Texas, about 250,000 of the 500,000 came to Texas... from the other 49 states.",half-true,FAKE,0,1,REAL,0.07784947007894516,0.9221505522727966,0.9221505522727966,False,FAKE_TO_REAL,45
Hes the only candidate whos balanced budgets and brought jobs to Providence.,mostly-true,REAL,1,0,FAKE,0.9791755676269531,0.020824462175369263,0.9791755676269531,False,REAL_TO_FAKE,17
Says Marco Rubio said Social Security and Medicare haveweakened us as a people.,mostly-true,REAL,1,0,FAKE,0.9200610518455505,0.07993895560503006,0.9200610518455505,False,REAL_TO_FAKE,20
"Of the 20 bills [Rep. David] Cicilline has sponsored in his three years in office, not a single one has advanced past the embryonic committee stage.",half-true,FAKE,0,1,REAL,0.08327504247426987,0.9167249202728271,0.9167249202728271,False,FAKE_TO_REAL,37
1 percent of Americans are millionaires. 47 percent of House Reps. are millionaires. 56 percent of Senators are millionaires.,half-true,FAKE,0,1,REAL,0.017184672877192497,0.9828153252601624,0.9828153252601624,False,FAKE_TO_REAL,29
The Texas Department of Transportation... misplaced a billion dollars.,mostly-true,REAL,1,0,FAKE,0.940096378326416,0.059903595596551895,0.940096378326416,False,REAL_TO_FAKE,16
"Pepper ... kicked off a jock tax, imposing a levy on the sports and entertainment industry.",true,REAL,1,0,FAKE,0.965381383895874,0.03461866453289986,0.965381383895874,False,REAL_TO_FAKE,22
"Under Mayor Tom Barrett, the number of Milwaukee police officers has not increased.",true,REAL,1,0,FAKE,0.9845770001411438,0.015422987751662731,0.9845770001411438,False,REAL_TO_FAKE,17
"The words subhuman mongrel, which Ted Nugent called President Barack Obama, were used by the Nazis to justify the genocide of the Jewish community.",true,REAL,1,0,FAKE,0.9685242176055908,0.03147577866911888,0.9685242176055908,False,REAL_TO_FAKE,34
More (student-athletes) graduate than the students who arent student-athletes.,half-true,FAKE,0,1,REAL,0.05697989463806152,0.9430201053619385,0.9430201053619385,False,FAKE_TO_REAL,19
Says Mitt Romney flip-flopped on an assault weapons ban.,half-true,FAKE,0,1,REAL,0.06644220650196075,0.9335578083992004,0.9335578083992004,False,FAKE_TO_REAL,15
"The sex-offender registry has been around for a long time, and the research thats out there says that it has no positive impact on the public safety.",mostly-true,REAL,1,0,FAKE,0.9606909155845642,0.03930910676717758,0.9606909155845642,False,REAL_TO_FAKE,34
"Says, In Oregon in 2010, 49 percent of all pregnancies were unintended.",mostly-true,REAL,1,0,FAKE,0.9329504370689392,0.06704960763454437,0.9329504370689392,False,REAL_TO_FAKE,21
Says Clackamas County has more urban renewal debt than all the other Oregon counties combined.,half-true,FAKE,0,1,REAL,0.08027147501707077,0.9197284579277039,0.9197284579277039,False,FAKE_TO_REAL,21
Says states mandated tests come from an English company.,mostly-true,REAL,1,0,FAKE,0.9404289126396179,0.05957111343741417,0.9404289126396179,False,REAL_TO_FAKE,12
"We spend in tax loopholes annually $1.1 trillion. Thats more than we spend on our defense budget in a year, on Medicare or Medicaid in a year.",barely-true,FAKE,0,1,REAL,0.016130896285176277,0.9838691353797913,0.9838691353797913,False,FAKE_TO_REAL,39
