statement,true_label_id,true_label,predicted_label_id,predicted_label,prob_fake,prob_real,confidence,correct,token_length,error_type,length_group
wisconsin is on pace to double the number of layoffs this year.,0,FAKE,1,REAL,0.1980757,0.80192435,0.80192435,False,16,FAKE_TO_REAL,1-16
we know that more than half of hillary clintons meetings while she was secretary of state were given to major contributors to the clinton foundation.,0,FAKE,1,REAL,0.47452146,0.52547854,0.52547854,False,29,FAKE_TO_REAL,17-32
we know there are more democrats in georgia than republicans. we know that for a fact.,0,FAKE,1,REAL,0.3602048,0.63979524,0.63979524,False,20,FAKE_TO_REAL,17-32
"says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.",0,FAKE,1,REAL,0.14048335,0.8595166,0.8595166,False,26,FAKE_TO_REAL,17-32
unfortunately we have documented instances where people defecated in the ( statehouse ) building.,0,FAKE,1,REAL,0.24801245,0.7519875,0.7519875,False,20,FAKE_TO_REAL,17-32
says mitt romney was one of the first national republican leaders to endorse marco rubio.,0,FAKE,1,REAL,0.21109949,0.7889005,0.7889005,False,22,FAKE_TO_REAL,17-32
its been since 1888 that a senate of a different party than the president in the white house confirmed a supreme court nominee.,0,FAKE,1,REAL,0.32444835,0.6755516,0.6755516,False,26,FAKE_TO_REAL,17-32
says he won the second debate with hillary clinton in a landslide in every poll.,0,FAKE,1,REAL,0.2553202,0.7446798,0.7446798,False,18,FAKE_TO_REAL,17-32
"a proposed tax to fund transportation projects would spend $ 90, 000 to take a single vehicle off the road during the morning and afternoon commute.",0,FAKE,1,REAL,0.2148262,0.78517383,0.78517383,False,31,FAKE_TO_REAL,17-32
says charlie crist voted against raising the minimum wage.,0,FAKE,1,REAL,0.27255073,0.72744924,0.72744924,False,13,FAKE_TO_REAL,1-16
"last year, out of the 500, 000 ( in ) population growth we had in the state of texas, about 250, 000 of the 500, 000 came to texas... from the other 49 states.",0,FAKE,1,REAL,0.07784947,0.92215055,0.92215055,False,45,FAKE_TO_REAL,33-64
when undocumented children are picked up at the border and told to appear later in court... 90 percent do not then show up.,0,FAKE,1,REAL,0.33747998,0.66252005,0.66252005,False,31,FAKE_TO_REAL,17-32
says gov. chris christie cut spending ( by ) $ 1 billion and provided $ 850 million in new education funding.,0,FAKE,1,REAL,0.46607247,0.5339276,0.5339276,False,25,FAKE_TO_REAL,17-32
sixty percent of the hispanics support the arizona immigration law,0,FAKE,1,REAL,0.22980145,0.7701985,0.7701985,False,13,FAKE_TO_REAL,1-16
"of the 20 bills [ rep. david ] cicilline has sponsored in his three years in office, not a single one has advanced past the embryonic committee stage.",0,FAKE,1,REAL,0.08327504,0.9167249,0.9167249,False,37,FAKE_TO_REAL,33-64
"says donald trump has said he loves war, including with nukes.",0,FAKE,1,REAL,0.115367,0.88463306,0.88463306,False,16,FAKE_TO_REAL,1-16
proximity to high - voltage power lines lowers property values by as much as 30 percent.,0,FAKE,1,REAL,0.15024664,0.8497534,0.8497534,False,19,FAKE_TO_REAL,17-32
1 percent of americans are millionaires. 47 percent of house reps. are millionaires. 56 percent of senators are millionaires.,0,FAKE,1,REAL,0.017184673,0.9828153,0.9828153,False,29,FAKE_TO_REAL,17-32
"mitch mcconnell opposed "" legislation to create and protect kentucky jobs... help for the unemployed... health care for kentucky's children, "" and "" fair pay for women. """,0,FAKE,1,REAL,0.33249268,0.6675074,0.6675074,False,40,FAKE_TO_REAL,33-64
taxpayers subsidize 80 percent of each marta trip,0,FAKE,1,REAL,0.10783257,0.89216745,0.89216745,False,13,FAKE_TO_REAL,1-16
half of children struck by cars near schools are hit by parents driving children to school.,0,FAKE,1,REAL,0.294566,0.705434,0.705434,False,19,FAKE_TO_REAL,17-32
"citizens property insurance has over $ 500 billion worth of risk, with less than $ 10 billion worth of surplus.",0,FAKE,1,REAL,0.32530078,0.6746992,0.6746992,False,24,FAKE_TO_REAL,17-32
"says donald trump said of women, and you can tell them to go f - - - themselves.",0,FAKE,1,REAL,0.44565877,0.5543412,0.5543412,False,22,FAKE_TO_REAL,17-32
more ( student - athletes ) graduate than the students who arent student - athletes.,0,FAKE,1,REAL,0.056979895,0.9430201,0.9430201,False,19,FAKE_TO_REAL,17-32
says mitt romney flip - flopped on an assault weapons ban.,0,FAKE,1,REAL,0.06644221,0.9335578,0.9335578,False,15,FAKE_TO_REAL,1-16
republicans have proposed dozens of ( health care ) solutions designed to help control costs and improve quality.,0,FAKE,1,REAL,0.11415432,0.8858457,0.8858457,False,21,FAKE_TO_REAL,17-32
about 1 percent of all the gun sellers are responsible for more than half of the guns that are used in crimes.,0,FAKE,1,REAL,0.4953066,0.5046934,0.5046934,False,25,FAKE_TO_REAL,17-32
austin school district teachers are the lowest paid of any urban texas district and the lowest paid of any surrounding school district.,0,FAKE,1,REAL,0.30958602,0.6904141,0.6904141,False,25,FAKE_TO_REAL,17-32
says clackamas county has more urban renewal debt than all the other oregon counties combined.,0,FAKE,1,REAL,0.080271475,0.91972846,0.91972846,False,21,FAKE_TO_REAL,17-32
there is no record of congresswoman betty sutton... ever holding a single in - person town hall meeting open to the general public.,0,FAKE,1,REAL,0.30336234,0.6966377,0.6966377,False,30,FAKE_TO_REAL,17-32
"mark herring voted to allow sex offenders, including rapists, to serve shorter sentences.",0,FAKE,1,REAL,0.2907768,0.7092232,0.7092232,False,19,FAKE_TO_REAL,17-32
"we spend in tax loopholes annually $ 1. 1 trillion. thats more than we spend on our defense budget in a year, on medicare or medicaid in a year.",0,FAKE,1,REAL,0.016130896,0.98386914,0.98386914,False,39,FAKE_TO_REAL,33-64
"insured floridians pay about $ 2, 000 for every hospital stay to cover the cost of the uninsured.",0,FAKE,1,REAL,0.30623645,0.6937636,0.6937636,False,28,FAKE_TO_REAL,17-32
this would be the largest casino in the united states.,0,FAKE,1,REAL,0.44892782,0.55107224,0.55107224,False,13,FAKE_TO_REAL,1-16
"says that each year, about 25, 000 american women become pregnant through rape or incest.",0,FAKE,1,REAL,0.18987998,0.81012,0.81012,False,21,FAKE_TO_REAL,17-32
"bill nelson leased land that he owned for six cows, taking advantage of an agricultural tax loophole to dodge $ 43, 000 in taxes just last year.",0,FAKE,1,REAL,0.098393515,0.9016065,0.9016065,False,33,FAKE_TO_REAL,33-64
"since the first of the year, 153 businesses at last count had moved out of california to texas.",0,FAKE,1,REAL,0.14047843,0.85952157,0.85952157,False,22,FAKE_TO_REAL,17-32
"gov. romney himself, with 28 other republican governors, supported policies that would have eliminated the time limits in the welfare reform law and allowed people to stay on welfare forever.",0,FAKE,1,REAL,0.19017486,0.80982506,0.80982506,False,36,FAKE_TO_REAL,33-64
says rick perry recently said he wanted another ( texas ) business tax.,0,FAKE,1,REAL,0.40112904,0.59887105,0.59887105,False,16,FAKE_TO_REAL,1-16
"right now, an employer has more of a chance of getting hit by lightning than be prosecuted for hiring an undocumented worker. that has to change.",0,FAKE,1,REAL,0.4520825,0.5479174,0.5479174,False,33,FAKE_TO_REAL,33-64
wisconsin dropped from second in the country to 41st among states where more than half the students took the act exam.,0,FAKE,1,REAL,0.39602336,0.60397667,0.60397667,False,24,FAKE_TO_REAL,17-32
... secret documents reveal that iran could obtain a nuclear weapon far sooner than we were told. and tammy duckworth voted yes ( on the iran nuclear deal ).,0,FAKE,1,REAL,0.3675756,0.6324244,0.6324244,False,36,FAKE_TO_REAL,33-64
one in every three women has an abortion during her lifetime.,0,FAKE,1,REAL,0.4707074,0.52929264,0.52929264,False,14,FAKE_TO_REAL,1-16
acorn could get up to $ 8. 5 billion more tax dollars despite being under investigation for voter registration fraud in a dozen states.,0,FAKE,1,REAL,0.10187333,0.89812666,0.89812666,False,29,FAKE_TO_REAL,17-32
"over 10 years, ( extending tax cuts for the wealthy ) would add less to the deficit than obama added with the stimulus in one year.",0,FAKE,1,REAL,0.11709928,0.8829008,0.8829008,False,30,FAKE_TO_REAL,17-32
gov. rick scott backed the federal shutdown.,0,FAKE,1,REAL,0.3505607,0.6494393,0.6494393,False,12,FAKE_TO_REAL,1-16
"says in 2003 texas cut $ 10 billion out of the entire budget, yet we put $ 1. 8 billion more into public education. we put $ 800 million more into health and human services.",0,FAKE,1,REAL,0.48595384,0.5140462,0.5140462,False,41,FAKE_TO_REAL,33-64
wages adjusted for inflation havent risen since the turn of the last century.,0,FAKE,1,REAL,0.26228222,0.73771775,0.73771775,False,17,FAKE_TO_REAL,17-32
says if you compare the portland metro area to the cdcs statewide cavity rates... the portland metro area would actually rank as having the 15th lowest cavity rate in the u. s.,0,FAKE,1,REAL,0.043820906,0.9561791,0.9561791,False,40,FAKE_TO_REAL,33-64
"he was offered medical care for his injuries if he would give up military information in return. john mccain said,'no. '",0,FAKE,1,REAL,0.20804894,0.791951,0.791951,False,28,FAKE_TO_REAL,17-32
saturday night live executive producer lorne michaels could be put in jail under this amendment for making fun of any politician.,0,FAKE,1,REAL,0.31019166,0.6898083,0.6898083,False,25,FAKE_TO_REAL,17-32
"of the roughly 15 percent of americans who dont have health insurance, half of them made more than $ 50, 000 a year.",0,FAKE,1,REAL,0.042634238,0.95736575,0.95736575,False,29,FAKE_TO_REAL,17-32
"the united states can immediately tap a domestic energy resource of more than 1. 5 trillion barrels of oil, six times more than saudi arabia.",0,FAKE,1,REAL,0.033071086,0.9669289,0.9669289,False,30,FAKE_TO_REAL,17-32
"i did very well with young people in ohio, massachusetts, california.",0,FAKE,1,REAL,0.42198184,0.5780181,0.5780181,False,16,FAKE_TO_REAL,1-16
"mccain "" has opposed stem cell research. """,0,FAKE,1,REAL,0.027646493,0.97235346,0.97235346,False,11,FAKE_TO_REAL,1-16
we already pay the highest electricity prices in the country here in new england.,0,FAKE,1,REAL,0.038970213,0.96102977,0.96102977,False,17,FAKE_TO_REAL,17-32
we're going to have more troops ( in afghanistan )... than the russians had.,0,FAKE,1,REAL,0.43057323,0.5694267,0.5694267,False,22,FAKE_TO_REAL,17-32
"more than 250 ( voter registration ) groups, ranging across the entire political spectrum, have filed with the state and are registering voters right now.",0,FAKE,1,REAL,0.16257352,0.8374265,0.8374265,False,30,FAKE_TO_REAL,17-32
rhode islands unemployment insurance system is the most expensive such system in the country.,0,FAKE,1,REAL,0.033868413,0.9661316,0.9661316,False,17,FAKE_TO_REAL,17-32
