statement,true_label_id,true_label,predicted_label_id,predicted_label,prob_fake,prob_real,confidence,correct,token_length,error_type,length_group
building a wall on the u. s. - mexico border will take literally years.,1,REAL,0,FAKE,0.9499503,0.05004979,0.9499503,False,19,REAL_TO_FAKE,17-32
says the unemployment rate for college graduates is 4. 4 percent and over 10 percent for noncollege - educated.,1,REAL,0,FAKE,0.97562575,0.024374261,0.97562575,False,25,REAL_TO_FAKE,17-32
"each year, 18, 000 people die in america because they don't have health care.",1,REAL,0,FAKE,0.924644,0.07535602,0.924644,False,21,REAL_TO_FAKE,17-32
there have not been any public safety issues in cities that allow transgender people to use the bathroom of the gender they identify as.,1,REAL,0,FAKE,0.9679585,0.032041498,0.9679585,False,27,REAL_TO_FAKE,17-32
"contends that president obama literally said ( if ) his cap - and - trade proposals were to pass, that utility rates, his words now, would, necessarily skyrocket.",1,REAL,0,FAKE,0.9556803,0.04431967,0.9556803,False,38,REAL_TO_FAKE,33-64
the united states has a low voter turnout rate.,1,REAL,0,FAKE,0.6754877,0.32451233,0.6754877,False,12,REAL_TO_FAKE,1-16
"in massachusetts, scott brown pushed for a law to force women considering abortion - - force them - - to look at color photographs of developing fetuses.",1,REAL,0,FAKE,0.7162689,0.28373113,0.7162689,False,33,REAL_TO_FAKE,33-64
"the fed created $ 1. 2 trillion out of nothing, gave it to banks, and some of them foreign banks, so that they could stabilize their operations.",1,REAL,0,FAKE,0.9158715,0.084128566,0.9158715,False,34,REAL_TO_FAKE,33-64
hes the only candidate whos balanced budgets and brought jobs to providence.,1,REAL,0,FAKE,0.97917557,0.020824462,0.97917557,False,17,REAL_TO_FAKE,17-32
says marco rubio said social security and medicare haveweakened us as a people.,1,REAL,0,FAKE,0.92006105,0.079938956,0.92006105,False,20,REAL_TO_FAKE,17-32
"across the country, $ 174 billion of the recovery act have been committed in its first 130 days.",1,REAL,0,FAKE,0.89707917,0.10292084,0.89707917,False,22,REAL_TO_FAKE,17-32
the texas department of transportation... misplaced a billion dollars.,1,REAL,0,FAKE,0.9400964,0.059903596,0.9400964,False,16,REAL_TO_FAKE,1-16
"pepper... kicked off a jock tax, imposing a levy on the sports and entertainment industry.",1,REAL,0,FAKE,0.9653814,0.034618665,0.9653814,False,22,REAL_TO_FAKE,17-32
"under mayor tom barrett, the number of milwaukee police officers has not increased.",1,REAL,0,FAKE,0.984577,0.015422988,0.984577,False,17,REAL_TO_FAKE,17-32
putting three republicans in my cabinet... is unprecedented.,1,REAL,0,FAKE,0.7515952,0.24840486,0.7515952,False,14,REAL_TO_FAKE,1-16
"as a result of climate change, ice fishermen in wisconsin are already noticing fewer days they can be out on our ice covered lakes.",1,REAL,0,FAKE,0.87114185,0.12885812,0.87114185,False,28,REAL_TO_FAKE,17-32
iran president hassan rouhani has more cabinet members with ph. d. s from american universities than members of barack obamas cabinet.,1,REAL,0,FAKE,0.8095846,0.19041543,0.8095846,False,29,REAL_TO_FAKE,17-32
"the words subhuman mongrel, which ted nugent called president barack obama, were used by the nazis to justify the genocide of the jewish community.",1,REAL,0,FAKE,0.9685242,0.03147578,0.9685242,False,34,REAL_TO_FAKE,33-64
"says u. s. sen. ron johnson led the fight to let polluters release unlimited amounts of carbon pollution and took nearly $ 225, 000 from polluters.",1,REAL,0,FAKE,0.8706892,0.12931077,0.8706892,False,37,REAL_TO_FAKE,33-64
orrin hatch co - sponsored a 1993 health care bill that had an individual mandate.,1,REAL,0,FAKE,0.7321959,0.26780412,0.7321959,False,19,REAL_TO_FAKE,17-32
wisconsin is dead last in the midwest for job creation.,1,REAL,0,FAKE,0.8831965,0.116803534,0.8831965,False,13,REAL_TO_FAKE,1-16
"says president barack obama has taken 92 days of vacation since he was sworn in, compared to 367 for president george w. bush at the same point in his presidency.",1,REAL,0,FAKE,0.82754105,0.17245902,0.82754105,False,36,REAL_TO_FAKE,33-64
tom suozzi raised taxes by hundreds of millions of dollars as nassau county executive.,1,REAL,0,FAKE,0.70838773,0.29161224,0.70838773,False,19,REAL_TO_FAKE,17-32
says bill nelson voted 98 percent of the time with barack obama.,1,REAL,0,FAKE,0.7568695,0.24313052,0.7568695,False,15,REAL_TO_FAKE,1-16
"says nfl commissioner roger goodell interviewed domestic abuse victim janay rice with ray rice present and for every domestic violence agency, every law enforcement agency, thats a no - no.",1,REAL,0,FAKE,0.8392486,0.16075137,0.8392486,False,38,REAL_TO_FAKE,33-64
"the sex - offender registry has been around for a long time, and the research thats out there says that it has no positive impact on the public safety.",1,REAL,0,FAKE,0.9606909,0.039309107,0.9606909,False,34,REAL_TO_FAKE,33-64
"quite frankly, it was during the bush years of spending, multiplied now by the obama years that we have this mess.",1,REAL,0,FAKE,0.7202814,0.27971855,0.7202814,False,26,REAL_TO_FAKE,17-32
the united states has the longest surviving constitution.,1,REAL,0,FAKE,0.53246,0.46754006,0.53246,False,11,REAL_TO_FAKE,1-16
"says, in oregon in 2010, 49 percent of all pregnancies were unintended.",1,REAL,0,FAKE,0.93295044,0.06704961,0.93295044,False,21,REAL_TO_FAKE,17-32
says states mandated tests come from an english company.,1,REAL,0,FAKE,0.9404289,0.059571113,0.9404289,False,12,REAL_TO_FAKE,1-16
sixteen million jobs were created under ronald reagans presidency.,1,REAL,0,FAKE,0.8979543,0.1020457,0.8979543,False,13,REAL_TO_FAKE,1-16
barack obama... 96 percent of his votes have been solely along party line.,1,REAL,0,FAKE,0.7815173,0.21848266,0.7815173,False,19,REAL_TO_FAKE,17-32
pasco county schools have graduation rates substantially higher than the state average and dropout rates below the state average.,1,REAL,0,FAKE,0.9741002,0.025899779,0.9741002,False,24,REAL_TO_FAKE,17-32
eighty - five percent of the states in the united states that had electrocution have now abolished it.,1,REAL,0,FAKE,0.5523795,0.4476205,0.5523795,False,23,REAL_TO_FAKE,17-32
today many florida teachers are at risk of having their pay impacted by the performance of children who are not even in their classrooms or subject areas.,1,REAL,0,FAKE,0.83661616,0.16338387,0.83661616,False,30,REAL_TO_FAKE,17-32
"says 315, 000 mostly minority texas students are enrolled in failing schools.",1,REAL,0,FAKE,0.98127043,0.018729605,0.98127043,False,16,REAL_TO_FAKE,1-16
